304,271,671,313,679,191,500,696,272,226,818,371,548,177,377,262,581,750,
794,857,601,573,415,104,234,579,781,67,744,460,378,489,440,384,74,79,
863,527,656,569,520,616,629,93,116,674,338,629,569,618,709,7,173,834,
159,121,652,294,104,237,467,659,475,217,438,180,480,108,466,131,327,608,
662,555,31,395,95,55,330,268,124,200,107,583,206,374,858,750,509,513,
352,547,384,165,186,510,145,840,586,636,648,48,648,447,32,150,414,669, 
106,465,347,848,742,567,645,582,629,237,99,473,270,624,619,307,84,388,
408,647,194,695,360,663,396,816,236,680,234,825,594,169,191,27,161,172,
421,349,556,18,18,25,573,141,109,212,195,836,368,531,35,478,274,424,
642,272,769,225,275,742,12,435,350,490,646,742,52,74,149,418,790,410,
685,225,460,755,133,201,458,408,262,685,50,390,588,682,663,393,109,33,
496,616,743,167,111,761,439,45,652,844,604,798,494,178,382,477,581,239,
216,90,566,830,1,828,296,860,656,773,785,98,287,749,446,607,389,797,
414,738,333,673,263,611,385,157,396,508,307,317,255,836,548,598
